name,price,img,description
Toyota Camry,"
$21200

1894432сом
",https://im.mashina.kg/tachka/images//7/5/8/758e708b6935fe746972f78bcb471cc7_240x180.jpg,"

2018г.,2.5л.,автомат



седан,бензин

рульслева,77000км
"
BMW 5 серии,"
$8057

720000сом
",https://im.mashina.kg/tachka/images//c/f/2/cf21e85b5e45fbeda5b494f45cb1a5e3_240x180.jpg,"

2003г.,2.5л.,автомат



седан,бензин

рульслева,192000км
"
Lexus GX,"
$22600

2019536сом
",https://im.mashina.kg/tachka/images//f/b/3/fb3e75f75209fa80be4620242991cefb_240x180.jpg,"

2005г.,4.7л.,автомат



внедорожник5дв.,бензин

рульслева,200000км
"
Geely Monjaro,"
$30200

2698672сом
",https://im.mashina.kg/tachka/images//6/b/f/6bf415337436009c2bba5aef2c39ee99_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,бензин

рульслева,18км
"
Toyota Alphard,"
$14100

1259976сом
",https://im.mashina.kg/tachka/images//b/c/a/bcaef052d2cdf97da13c1b0e4df5e0cc_240x180.jpg,"

2003г.,2.4л.,автомат



минивэн,бензин

рульсправа,260000км
"
Toyota Camry,"
$25000

2234000сом
",https://im.mashina.kg/tachka/images//f/a/3/fa3a23f6b4f021ce976d4328ef3c2c93_240x180.jpg,"

2019г.,2.5л.,вариатор



седан,гибрид

рульслева,45000км
"
Toyota Aristo,"
$8888

794232сом
",https://im.mashina.kg/tachka/images//f/e/0/fe0dc9c7202df687e690a4c0b924593e_240x180.jpg,"

2001г.,3л.,автомат



седан,бензин

рульсправа,256000км
"
Kia K7,"
$16500

1474440сом
",https://im.mashina.kg/tachka/images//7/0/4/7045be58ffcc07f67e8e25f10643df12_240x180.jpg,"

2018г.,3л.,автомат



седан,газ

рульслева,130000км
"
Hyundai Sonata,"
$13500

1206360сом
",https://im.mashina.kg/tachka/images//d/6/f/d6fe2b22ab712c9e507a7997504f15c0_240x180.jpg,"

2018г.,2л.,автомат



седан,газ

рульслева,130000км
"
Kia Optima,"
$13700

1224232сом
",https://im.mashina.kg/tachka/images//d/3/9/d39801096d30d9fae715be84268c6e2a_240x180.jpg,"

2018г.,2.4л.,автомат



седан,бензин

рульслева,78000км
"
Kia Rio,"
$5800

518288сом
",https://im.mashina.kg/tachka/images//e/d/0/ed0ca3f7f46acd3f23c4a6c117454857_240x180.jpg,"

2015г.,1.6л.,механика



седан,бензин

рульслева,350000км
"
Hyundai Palisade,"
$57700

5156072сом
",https://im.mashina.kg/tachka/images//4/8/4/484ed2afb95a3ea49fa355090c337adf_240x180.jpg,"

2022г.,2.2л.,автомат



внедорожник5дв.,дизель

рульслева,11700км
"
Toyota Camry,"
$32900

2939944сом
",https://im.mashina.kg/tachka/images//e/9/1/e91c48876dd844949ad36490a6ea5f00_240x180.jpg,"

2023г.,2.5л.,автомат



седан,бензин

рульслева,10км
"
Lexus RX,"
$14600

1304656сом
",https://im.mashina.kg/tachka/images//5/7/0/570fa7ca7936bf3419d4927b7dc5e743_240x180.jpg,"

2005г.,3л.,автомат



внедорожник5дв.,бензин

рульслева,213940км
"
Mazda 3,"
$9999

893511сом
",https://im.mashina.kg/tachka/images//1/8/9/189d222a7d197802306c6bff78b8d0d0_240x180.jpg,"

2011г.,1.6л.,автомат



седан,бензин

рульслева,133497км
"
Voyah Free,"
$43700

3905032сом
",https://im.mashina.kg/tachka/images//b/e/5/be5d8eeeefed83df3dcab34d8cd0cd68_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,15км
"
LiXiang L9,"
$67000

5987120сом
",https://im.mashina.kg/tachka/images//9/1/b/91b7196ae12c6131d627e923c9173714_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,15км
"
Kia Sorento,"
$25700

2296552сом
",https://im.mashina.kg/tachka/images//0/5/3/0533cc4e77c5523e4d8cd8392ea77d34_240x180.jpg,"

2017г.,2л.,автомат



внедорожник5дв.,дизель

рульслева,40000км
"
Hyundai Elantra,"
$16500

1474440сом
",https://im.mashina.kg/tachka/images//0/b/1/0b1610fe22d44d0c6baeba7b0b4a155c_240x180.jpg,"

2019г.,1.6л.,автомат



седан,бензин

рульслева,73000км
"
Mazda Premacy,"
$5036

450000сом
",https://im.mashina.kg/tachka/images//7/6/8/768d6d59fb754e6847fe4a541e50f630_240x180.jpg,"

2001г.,1.8л.,автомат



компактвэн,бензин

рульсправа,420000км
"
Toyota Sequoia,"
$18700

1671032сом
",https://im.mashina.kg/tachka/images//4/2/6/42690c79d03e7b4dcf355d25b6a22139_240x180.jpg,"

2005г.,4.7л.,автомат



внедорожник5дв.,бензин

рульслева,228431км
"
Kia Morning,"
$8000

714880сом
",https://im.mashina.kg/tachka/images//1/7/9/179b1e8d54b2555f62b139c8cf8b678a_240x180.jpg,"

2018г.,1л.,автомат



хэтчбек5дв.,бензин

рульслева,51000км
"
LiXiang L9,"
$68000

6076480сом
",https://im.mashina.kg/tachka/images//5/5/c/55c2d005b2459d35a77cc6541e9b523d_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева
"
Kia K5 I Седан,"
$11400

1018704сом
",https://im.mashina.kg/tachka/images//f/5/9/f59dd6d0a997e784dd37921af279cf56_240x180.jpg,"

2012г.,2л.,автомат



седан,бензин

рульслева,178222км
"
Mercedes-Benz CLS,"
$31500

2814840сом
",https://im.mashina.kg/tachka/images//7/6/e/76edb582dd8743db805324655ef184f9_240x180.jpg,"

2013г.,4.7л.,автомат



седан,бензин

рульслева,19000км
"
Volkswagen Golf,"
$5300

473608сом
",https://im.mashina.kg/tachka/images//4/9/1/49123670daf993beb8ad240087a918d0_240x180.jpg,"

2003г.,1.6л.,механика



хэтчбек5дв.,бензин

рульслева,257000км
"
Kia Seltos,"
$24500

2189320сом
",https://im.mashina.kg/tachka/images//d/c/a/dca7cbe5728d8f5903bf2b800cf80d04_240x180.jpg,"

2019г.,1.6л.,автомат



внедорожник5дв.,бензин

рульслева,15000км
"
LiXiang L9,"
$68500

6121160сом
",https://im.mashina.kg/tachka/images//6/9/b/69baa6c9e2f46068a7e7d54bc92753a9_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева
"
Honda Jazz,"
$6826

610000сом
",https://im.mashina.kg/tachka/images//2/0/e/20e26f5fa8fdb4157eb38eac175ffee8_240x180.jpg,"

2007г.,1.5л.,вариатор



хэтчбек5дв.,бензин

рульслева,229500км
"
Toyota Camry,"
$17000

1519120сом
",https://im.mashina.kg/tachka/images//b/9/4/b94c47b10bcf256de726c9e062431349_240x180.jpg,"

2012г.,3.5л.,автомат



седан,бензин

рульслева,250000км
"
Honda CR-V,"
$11300

1009768сом
",https://im.mashina.kg/tachka/images//f/1/c/f1c428eabd1e556759b2c5da96cb58c4_240x180.jpg,"

2008г.,2.4л.,автомат



внедорожник5дв.,бензин

рульслева,146000км
"
Kia K5 II Седан,"
$15800

1411888сом
",https://im.mashina.kg/tachka/images//7/f/d/7fd6ced036afadb01a1cee0e621f5787_240x180.jpg,"

2018г.,2л.,автомат



седан,газ

рульслева,148070км
"
Kia K5 II Седан,"
$12900

1152744сом
",https://im.mashina.kg/tachka/images//b/3/c/b3ccd75fe96a1679906dc99c37918e25_240x180.jpg,"

2016г.,2л.,автомат



седан,газ

рульслева,214000км
"
Toyota Camry,"
$15285

1365868сом
",https://im.mashina.kg/tachka/images//7/3/e/73e29a73eaab7a651a75eb555f78f6b7_240x180.jpg,"

2012г.,2.5л.,автомат



седан,бензин

рульслева,248512км
"
Toyota Camry,"
$8990

803346сом
",https://im.mashina.kg/tachka/images//4/8/2/48213b7057f24fe5c36bbeb2d30c46b8_240x180.jpg,"

2003г.,2.4л.,автомат



седан,бензин

рульслева,220000км
"
Honda Accord,"
$8600

768496сом
",https://im.mashina.kg/tachka/images//7/7/2/772576b9ffbceeca56e2c87feb41b284_240x180.jpg,"

2003г.,2.4л.,автомат



седан,бензин

рульсправа,287000км
"
Nissan Primera,"
$111907

10000000сом
",/bundles/client/default/img/no-preview.jpg,"

2000г.,1.8л.,автомат



седан,бензин

рульсправа,350000км
"
Toyota Estima,"
$13800

1233168сом
",https://im.mashina.kg/tachka/images//6/a/4/6a4a7c044cfff489dd8b24563f5b9de9_240x180.jpg,"

2008г.,2.4л.,вариатор



минивэн,бензин

рульсправа,205000км
"
Kia Sorento,"
$20900

1867624сом
",https://im.mashina.kg/tachka/images//1/f/8/1f80f8f242a9c21533fa1845a4387e40_240x180.jpg,"

2019г.,2л.,автомат



внедорожник5дв.,дизель

рульслева,36500км
"
BMW 5 серии,"
$12000

1072320сом
",https://im.mashina.kg/tachka/images//f/0/2/f0200c20c60f00e9f56acaf76ac11228_240x180.jpg,"

2008г.,3л.,автомат



седан,бензин

рульслева,322000км
"
Hyundai Getz,"
$4252

380000сом
",https://im.mashina.kg/tachka/images//1/6/b/16b95db3bb0e97c0e04a0006525a0b52_240x180.jpg,"

2003г.,1.3л.,механика



хэтчбек5дв.,бензин

рульслева,203185км
"
Toyota Highlander,"
$14000

1251040сом
",https://im.mashina.kg/tachka/images//f/3/8/f3825292f9ef8e8070ab51a056e3055b_240x180.jpg,"

2006г.,3.3л.,вариатор



внедорожник5дв.,гибрид

рульслева,247000км
"
Toyota RAV4,"
$20000

1787200сом
",https://im.mashina.kg/tachka/images//b/5/f/b5f32e8de8812acd85e76f8d3e05f939_240x180.jpg,"

2015г.,2.5л.,автомат



внедорожник5дв.,бензин

рульслева,100000км
"
Daewoo Lacetti,"
$4029

360000сом
",https://im.mashina.kg/tachka/images//0/c/6/0c6a8c0cc981f02fda402af83edd2e29_240x180.jpg,"

2003г.,1.6л.,механика



седан,бензин

рульслева,202639км
"
Toyota Camry,"
$12600

1125936сом
",https://im.mashina.kg/tachka/images//9/8/e/98e3af2dc00d202b9be2eb77d560fbe2_240x180.jpg,"

2010г.,2.5л.,автомат



седан,бензин

рульслева,105000км
"
Subaru Legacy,"
$7700

688072сом
",https://im.mashina.kg/tachka/images//f/1/f/f1fdbb4b877df6f7b2b950097714001a_240x180.jpg,"

2005г.,2л.,автомат



седан,бензин

рульсправа,233069км
"
Honda Fit,"
$6714

600000сом
",https://im.mashina.kg/tachka/images//f/a/3/fa3f5dc3673139af590a934462c98019_240x180.jpg,"

2006г.,1.5л.,вариатор



хэтчбек5дв.,бензин

рульсправа,213548км
"
Toyota RAV4,"
$20000

1787200сом
",https://im.mashina.kg/tachka/images//0/b/f/0bf78bbb19824894da88d34bb41797b9_240x180.jpg,"

2017г.,2.5л.,вариатор



внедорожник5дв.,гибрид

рульслева,150000км
"
Toyota Camry (Japan),"
$24300

2171448сом
",https://im.mashina.kg/tachka/images//8/9/6/896a3cea3d537038f6f43fb473e06c9a_240x180.jpg,"

2017г.,2.5л.,вариатор



седан,гибрид

рульслева,111000км
"
Fiat 500,"
$9500

848920сом
",https://im.mashina.kg/tachka/images//9/e/e/9ee9f1eac3e89a0f6fbf96cdd278f6b3_240x180.jpg,"

2016г.,автомат



хэтчбек3дв.,электро

рульслева,79400км
"
Hyundai Sonata,"
$11500

1027640сом
",https://im.mashina.kg/tachka/images//b/e/7/be77bbcfbe8665fb55f367c2a8d53c84_240x180.jpg,"

2019г.,2л.,автомат



седан,бензин

рульслева,105000км
"
Mercedes-Benz C-Класс,"
$24800

2216128сом
",https://im.mashina.kg/tachka/images//b/c/5/bc5f4e35a228a6830268bf5dfb55dc92_240x180.jpg,"

2017г.,2.1л.,автомат



седан,дизель

рульслева,98000км
"
Toyota Corolla,"
$6491

580000сом
",https://im.mashina.kg/tachka/images//1/d/b/1db189118be9aa8b9767bc7bdf8b4d12_240x180.jpg,"

2004г.,1.6л.,механика



седан,бензин

рульслева,9497км
"
Hyundai Palisade,"
$42500

3797800сом
",https://im.mashina.kg/tachka/images//f/b/d/fbda3780e9fa8a8204ec21da4680e3a9_240x180.jpg,"

2021г.,2.2л.,автомат



внедорожник5дв.,дизель

рульслева,40000км
"
Hyundai Sonata,"
$20900

1867624сом
",https://im.mashina.kg/tachka/images//7/e/7/7e771364662b4d9d22616ee119cab852_240x180.jpg,"

2019г.,2л.,автомат



седан,бензин

рульслева,110000км
"
Daewoo Tico,"
$1119

100000сом
",https://im.mashina.kg/tachka/images//8/9/3/89386f4f0fae87b827e1a37c5d8e4cc0_240x180.jpg,"

1996г.,0.8л.,механика



хэтчбек5дв.,бензин

рульслева,357247км
"
EXEED TXL,"
$31300

2796968сом
",https://im.mashina.kg/tachka/images//2/7/0/2709c52d2e0eb3e3923fe7d2456d5a0e_240x180.jpg,"

2023г.,2л.,робот



внедорожник5дв.,бензин

рульслева,75км
"
Toyota Camry,"
$23300

2082088сом
",https://im.mashina.kg/tachka/images//a/2/e/a2e5d1de02391ac2f95d10ff6596bd2e_240x180.jpg,"

2018г.,2.5л.,автомат



седан,бензин

рульслева,161000км
"
Toyota Altezza,"
$5372

480000сом
",https://im.mashina.kg/tachka/images//d/b/6/db61d47f815db0fe51deff2be557a957_240x180.jpg,"

1999г.,2л.,автомат



седан,бензин

рульсправа,320000км
"
Nissan Leaf,"
$10950

978492сом
",https://im.mashina.kg/tachka/images//2/4/e/24e824802df1de9d690cadde7c118958_240x180.jpg,"

2013г.,автомат



хэтчбек5дв.,электро

рульслева,129500км
"
Toyota RAV4,"
$25800

2305488сом
",https://im.mashina.kg/tachka/images//2/d/f/2dfe7354336e0c7abfd98fa432e9839e_240x180.jpg,"

2017г.,2.5л.,автомат



внедорожник5дв.,бензин

рульслева,86224км
"
Toyota Land Cruiser,"
$47000

4199920сом
",https://im.mashina.kg/tachka/images//7/8/e/78eaf34c7810057842621851de6c35fd_240x180.jpg,"

2012г.,4.6л.,автомат



внедорожник5дв.,бензин

рульслева,178125км
"
Toyota Highlander,"
$34900

3118664сом
",https://im.mashina.kg/tachka/images//9/8/f/98f64dd951f220f2bff029c5e9b7a9a4_240x180.jpg,"

2017г.,3.5л.,автомат



внедорожник5дв.,бензин

рульслева,102321км
"
Hyundai Grandeur,"
$16950

1514652сом
",https://im.mashina.kg/tachka/images//0/e/8/0e8b4e96fecf5f95afdaffa0da3b42ad_240x180.jpg,"

2017г.,3л.,автомат



седан,газ

рульслева,200000км
"
Toyota RAV4,"
$24300

2171448сом
",https://im.mashina.kg/tachka/images//7/d/2/7d27eb8cacd05ada1416e360ec6adaa5_240x180.jpg,"

2017г.,2.5л.,автомат



внедорожник5дв.,бензин

рульслева,102226км
"
Honda Stream,"
$6800

607648сом
",https://im.mashina.kg/tachka/images//c/b/9/cb9ebb1c6e5b91361c4348a3263cbee7_240x180.jpg,"

2002г.,1.7л.,автомат



компактвэн,бензин

рульсправа,187654км
"
Toyota Camry,"
$8505

760000сом
",https://im.mashina.kg/tachka/images//7/c/0/7c05db36d24b93b030eca6516e862fdd_240x180.jpg,"

2002г.,2.4л.,автомат



седан,бензин

рульслева,100000км
"
Mercedes-Benz E-класс,"
$7999

714791сом
",https://im.mashina.kg/tachka/images//3/1/1/311c1efd9a3bb89daffd991ffe9a4f4e_240x180.jpg,"

2001г.,3.2л.,автомат



седан,бензин

рульслева,310000км
"
Chevrolet Spark,"
$9500

848920сом
",https://im.mashina.kg/tachka/images//5/b/1/5b1ff358bcdcee830ff66777eddc65ed_240x180.jpg,"

2021г.,1л.,вариатор



хэтчбек5дв.,бензин

рульслева,90000км
"
Toyota Camry,"
$19900

1778264сом
",https://im.mashina.kg/tachka/images//3/5/0/350fde9d254f238c669c78e265d8737e_240x180.jpg,"

2017г.,2.5л.,автомат



седан,бензин

рульслева,75532км
"
Toyota RAV4,"
$25200

2251872сом
",https://im.mashina.kg/tachka/images//1/e/a/1ea5e94d66c627a1a82993424ede4c88_240x180.jpg,"

2016г.,2.5л.,автомат



внедорожник5дв.,бензин

рульслева,124355км
"
Kia Sportage,"
$20600

1840816сом
",https://im.mashina.kg/tachka/images//2/d/2/2d2cca5c077b8e56fdedc274b72807d6_240x180.jpg,"

2020г.,2.4л.,автомат



внедорожник5дв.,бензин

рульслева,52000км
"
Mercedes-Benz A-Класс,"
$1902

170000сом
",https://im.mashina.kg/tachka/images//5/4/1/541cfa4445942f6a99b689c8f8ecb037_240x180.jpg,"

2000г.,1.4л.,механика



хэтчбек5дв.,бензин

рульслева,280000км
"
Toyota Camry,"
$23000

2055280сом
",https://im.mashina.kg/tachka/images//e/a/3/ea3813e3b5a2e7d2d2e4fe64d3a643cb_240x180.jpg,"

2015г.,3.5л.,автомат



седан,бензин

рульслева,147000км
"
Toyota Camry,"
$17500

1563800сом
",https://im.mashina.kg/tachka/images//f/e/b/feb054bb947c2c23d2cce582d9921673_240x180.jpg,"

2012г.,3.5л.,автомат



седан,бензин

рульслева,250000км
"
Lexus IS,"
$11500

1027640сом
",https://im.mashina.kg/tachka/images//5/d/4/5d45621ebd3b48a5c36f35fb84569181_240x180.jpg,"

2008г.,2.5л.,автомат



седан,бензин

рульслева,270000км
"
Hyundai Santa Fe,"
$30000

2680800сом
",https://im.mashina.kg/tachka/images//5/3/3/5333c3b2f0882fe1d73f35589ede8e6a_240x180.jpg,"

2022г.,2.5л.,автомат



внедорожник5дв.,бензин

рульслева,17000км
"
Mercedes-Benz E-класс,"
$3133

280000сом
",https://im.mashina.kg/tachka/images//1/9/6/196686aedcd438c32df4df4d7a566584_240x180.jpg,"

1995г.,2.2л.,автомат



седан,бензин

рульсправа,330000км
"
Mercedes-Benz E-класс,"
$6714

600000сом
",https://im.mashina.kg/tachka/images//b/e/2/be2131be41326ac97770e7a759e0cb07_240x180.jpg,"

2000г.,3.2л.,автомат



седан,бензин

рульслева,330000км
"
Toyota Tundra,"
$48000

4289280сом
",https://im.mashina.kg/tachka/images//7/3/e/73e68ab7c5e303dc679fb33a8c140d8e_240x180.jpg,"

2014г.,5.7л.,автомат



пикапдвойнаякабина,бензин

рульслева,31000км
"
Kia K5 II Седан,"
$15200

1358272сом
",https://im.mashina.kg/tachka/images//5/1/c/51c176534bacf2c1cfb49ec8c923c448_240x180.jpg,"

2017г.,2л.,автомат



седан,газ

рульслева,126500км
"
Daewoo Matiz,"
$4588

410000сом
",https://im.mashina.kg/tachka/images//a/b/1/ab1221709b152eccf2641871533c66c8_240x180.jpg,"

2008г.,0.8л.,автомат



хэтчбек5дв.,бензин

рульслева,220000км
"
Toyota Camry,"
$28000

2502080сом
",https://im.mashina.kg/tachka/images//e/f/3/ef348260453758f8ed168e0b1ff36e0d_240x180.jpg,"

2021г.,2.5л.,автомат



седан,бензин

рульслева,55300км
"
Toyota Camry,"
$21800

1948048сом
",https://im.mashina.kg/tachka/images//e/4/3/e43d95429d349be2648c9de98b0f6ba8_240x180.jpg,"

2018г.,2.5л.,автомат



седан,бензин

рульслева,52213км
"
Kia Morning,"
$10200

911472сом
",https://im.mashina.kg/tachka/images//1/0/6/106fc43f778e49de1c52be16f69b5e84_240x180.jpg,"

2017г.,1л.,автомат



хэтчбек5дв.,бензин

рульслева,68500км
"
Toyota Camry,"
$8500

759560сом
",https://im.mashina.kg/tachka/images//8/9/0/890232d01eff60375f3642a4658d8972_240x180.jpg,"

2004г.,2.4л.,автомат



седан,бензин

рульслева,175000км
"
BMW 5 серии,"
$38500

3440360сом
",https://im.mashina.kg/tachka/images//0/1/a/01a4b19cd55133a8765c09993bc422f4_240x180.jpg,"

2017г.,3л.,автомат



седан,бензин

рульслева,60000км
"
Toyota RAV4,"
$20800

1858688сом
",https://im.mashina.kg/tachka/images//c/6/2/c6231d0bb8dd026ac7299c2d69de3ba5_240x180.jpg,"

2018г.,2.5л.,автомат



внедорожник5дв.,бензин

рульслева,40000км
"
Honda Accord,"
$7300

652328сом
",https://im.mashina.kg/tachka/images//a/f/3/af376cea76817395d3c16f63a9891838_240x180.jpg,"

2006г.,2л.,механика



седан,бензин

рульслева,30000км
"
Daewoo Matiz,"
$1455

130000сом
",https://im.mashina.kg/tachka/images//f/d/4/fd4c29f84bcdb72e531f2e7d410bbfb0_240x180.jpg,"

1998г.,0.8л.,механика



хэтчбек5дв.,бензин

рульслева,250000км
"
Volkswagen Passat,"
$1791

160000сом
",https://im.mashina.kg/tachka/images//3/8/f/38fe75d240251e808745e05fe66fb035_240x180.jpg,"

1998г.,1.8л.,автомат



седан,бензин

рульсправа,281675км
"
Zeekr X,"
$31000

2770160сом
",https://im.mashina.kg/tachka/images//8/1/1/811bb001e42f844fc4a86c1737593aab_240x180.jpg,"

2023г.,автомат



внедорожник5дв.,электро

рульслева,30км
"
Daewoo Matiz,"
$3805

340000сом
",https://im.mashina.kg/tachka/images//f/a/c/facab8b0717699ee104c5561f627fc1b_240x180.jpg,"

2005г.,0.8л.,автомат



хэтчбек5дв.,бензин

рульслева,181232км
"
Mercedes-Benz E-класс,"
$9100

813176сом
",https://im.mashina.kg/tachka/images//d/1/0/d10c81438169522ef97a4beb36ac7763_240x180.jpg,"

2001г.,4.3л.,автомат



седан,бензин

рульслева,250000км
"
Toyota Highlander,"
$14000

1251040сом
",https://im.mashina.kg/tachka/images//c/f/e/cfef17bdcddf8d5b60e1f84577d25798_240x180.jpg,"

2004г.,3.3л.,автомат



внедорожник5дв.,бензин

рульслева,216300км
"
Toyota Camry,"
$15200

1358272сом
",https://im.mashina.kg/tachka/images//b/d/7/bd7e019b6a320f604d95bd6cd5d888a7_240x180.jpg,"

2015г.,2.5л.,вариатор



седан,гибрид

рульслева,289681км
"
LiXiang L9,"
$65800

5879888сом
",https://im.mashina.kg/tachka/images//3/8/f/38f6eb6851e19ee342b73a3401956f20_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,10км
"
Toyota Corolla,"
$7000

625520сом
",https://im.mashina.kg/tachka/images//3/7/6/376829d9c8d1f58316b2676d279b42e8_240x180.jpg,"

2005г.,1.4л.,механика



хэтчбек5дв.,бензин

рульслева,272980км
"
Toyota Camry,"
$38000

3420000сом
",https://im.mashina.kg/tachka/images//d/6/7/d670da359f8cdc7c5886d59591be428f_240x180.jpg,"

2023г.,2.5л.,автомат



седан,бензин

рульслева,6700км
"
Voyah Free,"
$41200

3681632сом
",https://im.mashina.kg/tachka/images//a/7/0/a7011cfd2b93516f2dd4d66ac242465a_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,50км
"
Chevrolet Monza,"
$13800

1233168сом
",https://im.mashina.kg/tachka/images//4/6/b/46bc9b43c386cc171096e8d291da71a5_240x180.jpg,"

2022г.,1.5л.,автомат



седан,бензин

рульслева,1км
"
Toyota Land Cruiser Prado,"
$79000

7110000сом
",https://im.mashina.kg/tachka/images//4/e/f/4ef391ef970169dded1ccf91bdffd45d_240x180.jpg,"

2021г.,4л.,автомат



внедорожник5дв.,бензин

рульслева,27300км
"
Toyota Avalon,"
$17500

1563800сом
",https://im.mashina.kg/tachka/images//4/0/7/4079214a24fb53c1bb182a34e88cb668_240x180.jpg,"

2013г.,2.5л.,вариатор



седан,гибрид

рульслева,189000км
"
Changan UNI-K,"
$27900

2493144сом
",https://im.mashina.kg/tachka/images//c/d/2/cd2a55c201226c27fbb127600e6ea048_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,бензин

рульслева,1км
"
BMW X7,"
$110000

9900000сом
",https://im.mashina.kg/tachka/images//7/1/9/7194639250d3527ebfc852a007ebc7e7_240x180.jpg,"

2020г.,3л.,автомат



внедорожник5дв.,дизель

рульслева,71000км
"
Zeekr 001,"
$59700

5334792сом
",https://im.mashina.kg/tachka/images//6/7/5/6750c494658f10631f8dbe438db06205_240x180.jpg,"

2023г.,автомат



лифтбек,электро

рульслева,1км
"
Geely Monjaro,"
$30200

2698672сом
",https://im.mashina.kg/tachka/images//9/4/0/940351168d794fed539646968c98d34b_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,бензин

рульслева,5км
"
Tank 400,"
$49600

4432256сом
",https://im.mashina.kg/tachka/images//8/e/0/8e0c47ddd0b9323e2e75829c632f71b2_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,гибрид

рульслева,1км
"
Geely Coolray,"
$17600

1572736сом
",https://im.mashina.kg/tachka/images//b/6/6/b66dad282bb149881c36ea9ed02c60fe_240x180.jpg,"

2023г.,1.5л.,робот



внедорожник5дв.,бензин

рульслева,5км
"
Kia Stinger,"
$41000

3690000сом
",https://im.mashina.kg/tachka/images//c/c/0/cc0da7437dfdf5c488d915d5f9359ed9_240x180.jpg,"

2022г.,2л.,автомат



лифтбек,бензин

рульслева,14800км
"
Chevrolet Monza,"
$13500

1206360сом
",https://im.mashina.kg/tachka/images//0/9/5/095c48d341fc086ad6daff98c0cc7828_240x180.jpg,"

2023г.,1.5л.,робот



седан,бензин

рульслева
"
Mercedes-Benz S-класс,"
$9300

831048сом
",https://im.mashina.kg/tachka/images//5/6/1/5619283da7e5b00ff8df10aa82ef38ab_240x180.jpg,"

2006г.,5.5л.,автомат



седан,бензин

рульслева,241000км
"
Lexus LX,"
$117000

10530000сом
",https://im.mashina.kg/tachka/images//5/a/0/5a066c971c05db22e00b32391434011c_240x180.jpg,"

2018г.,5.7л.,автомат



внедорожник5дв.,бензин

рульслева,50000км
"
Toyota Ist,"
$8500

759560сом
",https://im.mashina.kg/tachka/images//3/9/9/399325acb17978521a24da5b55e4ed45_240x180.jpg,"

2009г.,1.8л.,автомат



хэтчбек5дв.,бензин

рульслева,281000км
"
Toyota 4Runner,"
$76000

6840000сом
",https://im.mashina.kg/tachka/images//0/7/b/07bbba86017b7cbb01c5329c25cd7097_240x180.jpg,"

2022г.,4л.,автомат



внедорожник5дв.,бензин

рульслева,350км
"
Lexus RX,"
$11800

1054448сом
",https://im.mashina.kg/tachka/images//2/3/6/236709116cf3b8dbe5bcb7e6d852f6b1_240x180.jpg,"

2003г.,3.3л.,автомат



внедорожник5дв.,бензин

рульсправа,130000км
"
Hyundai Sonata,"
$26000

2340000сом
",https://im.mashina.kg/tachka/images//c/f/5/cf50443c30c75fabd1ae02d8b7c53345_240x180.jpg,"

2022г.,2л.,автомат



седан,бензин

рульслева,67643км
"
Mercedes-Benz E-класс,"
$6200

554032сом
",https://im.mashina.kg/tachka/images//0/c/a/0cad4cfe3a7957d5df5d85e261fe94d5_240x180.jpg,"

2002г.,2.4л.,автомат



седан,бензин

рульслева,500000км
"
BMW 5 серии,"
$12000

1072320сом
",https://im.mashina.kg/tachka/images//0/0/a/00a06431e40756fd5dabd21aa1351c34_240x180.jpg,"

2003г.,3л.,автомат



седан,бензин

рульслева,203000км
"
Mercedes-Benz S-класс AMG,"
$17500

1563800сом
",https://im.mashina.kg/tachka/images//6/9/2/692f874c544346263ce1341a534b56a6_240x180.jpg,"

2008г.,6.2л.,автомат



седан,бензин

рульслева,185000км
"
Kia K7,"
$19700

1760392сом
",https://im.mashina.kg/tachka/images//9/e/7/9e7a1619cf81a9654155d021a153d7ad_240x180.jpg,"

2018г.,3л.,автомат



седан,газ

рульслева,195000км
"
Kia K5 II Седан,"
$16700

1492312сом
",https://im.mashina.kg/tachka/images//0/f/0/0f00cfde3c1211648c0eda095bb1ea14_240x180.jpg,"

2019г.,2л.,автомат



седан,газ

рульслева,121800км
"
Mazda Premacy,"
$4252

380000сом
",https://im.mashina.kg/tachka/images//1/e/a/1eaf5cee559486a02df39a2ab0bf5667_240x180.jpg,"

2001г.,1.8л.,механика



компактвэн,бензин

рульслева,354127км
"
Mercedes-Benz E-класс,"
$9000

804240сом
",https://im.mashina.kg/tachka/images//5/a/8/5a860a6ee968bdad35124a249ac883b9_240x180.jpg,"

1999г.,3.2л.,автомат



седан,бензин

рульслева,496581км
"
